roll,pitch,yaw,x,y,z
-2.26373,-0.152277,-1.1558,0.618813,-0.733866,1.2182
-1.79239,0.16426,-1.32903,-3.23915e-05,-0.645964,-0.0878222
-1.91565,0.063728,-1.44653,0.0383739,-0.312861,0.231644
-1.69253,0.359218,-1.33995,-0.16006,-0.598919,-0.264285
-2.23628,-0.00264821,-1.14938,0.75452,-1.14855,1.24844
0.940131,0.492381,-0.503867,2.49993,2.36267,-0.779431
-2.17382,-0.0148438,-1.18874,0.611758,-1.12016,1.13117
1.4497,1.28715,1.07317,0.014424,1.1506,-0.396832
-1.73397,0.210995,-1.26872,0.268448,-1.17789,-0.703712
-2.21632,0.0160474,-1.25517,0.373735,-0.84779,1.05682
-1.88065,0.103922,-1.30641,-0.0144503,-0.762938,0.153357
-2.2724,0.00515535,-1.23858,0.451006,-0.885302,1.26573
-1.74034,0.23601,-1.37432,-0.19254,-0.616139,-0.316731
-1.97731,0.0391455,-1.38013,0.245269,-0.431834,0.391887
-2.18245,-0.0304693,-1.21727,0.396032,-1.01057,1.08393
1.77168,-0.0212994,-0.725121,5.88662,2.02887,0.892104
3.01075,1.25316,-2.2682,0.841798,-1.80714,0.679345
-1.92711,0.0965416,-1.21094,-0.052694,-1.13587,0.327188
2.93915,0.865733,-2.36027,1.14307,-1.22964,0.164705
-2.38969,-0.348437,-1.41121,0.166636,0.315184,0.769036
-1.95907,0.187369,-1.38362,4.89048e-05,-0.719637,0.373571
2.05677,0.339885,-2.36348,3.21033,-1.63968,0.280285
-1.83191,0.0912281,-1.40556,-0.0414373,-0.424165,0.00830758
-2.24238,0.0188269,-1.24713,0.418109,-0.955437,1.28385
-1.97695,0.0719625,-1.25124,0.314006,-0.938505,0.435561
0.9453,-1.11527,-0.84583,5.81127,1.30846,-0.494922
-1.95485,0.0962336,-1.23042,-0.0370873,-1.13597,0.436538
-1.94637,0.0614377,-1.48288,-0.00745497,-0.222217,0.307323
-1.96621,0.0489917,-1.24665,0.317719,-0.994758,0.436003
-2.23997,0.0163188,-1.25566,0.282589,-0.914773,1.20151
-1.7826,0.147303,-1.3812,-0.058606,-0.609408,-0.252402
-1.60748,0.51647,-1.45657,-0.154923,-0.168576,-0.3926
1.57903,1.84082,1.50579,-0.103068,0.230294,-0.213266
-1.76926,0.205366,-1.25237,-0.228312,-0.978155,-0.116911
-1.93807,0.253786,-1.20854,0.232265,-1.20846,0.279617
-1.75522,0.0718417,-1.37094,-0.0905154,-0.935275,-0.249289
-2.33124,-0.206095,-1.13252,0.933,-0.852829,1.65713
-2.05544,0.155847,-1.37464,0.14146,-0.763659,0.58738
2.58987,1.04692,-1.91386,3.3205,-2.6692,1.33956
-1.67399,0.346848,-1.22053,-0.0439083,-0.973348,-0.486566
-1.9254,0.173855,-1.30331,-0.0203299,-0.998556,0.261227
-1.97681,0.349733,-1.31843,0.0771403,-1.0326,0.413686
-1.67498,0.892587,-0.804592,0.786377,-1.97436,-0.639617
2.29912,0.859818,-2.5309,2.59203,-1.91244,0.11486
-1.77058,0.127499,-1.16308,-0.0501235,-1.27716,-0.213557
-2.05101,0.103966,-1.31998,0.24676,-0.767637,0.643302
-2.05956,0.118948,-1.33261,0.361492,-0.822049,0.624493
2.04988,-1.41934,1.22389,-0.201485,-0.00464834,0.507374
-1.96216,0.0554493,-1.46194,0.157156,-0.237272,0.356977
0.293991,0.963779,-0.39566,0.938491,1.59992,-0.840096
