roll,pitch,yaw,x,y,z
-1.69304,-0.0172417,-1.49311,0.0585765,0.00817257,-0.2006
-1.70063,-0.051572,-1.47674,0.050213,-0.0396888,-0.209529
-1.6872,-0.0169083,-1.49627,0.0597507,0.0135339,-0.211706
-1.69426,-0.0251058,-1.49302,0.0627272,0.00730681,-0.203803
-1.70341,-0.0311898,-1.49614,0.0590306,0.0222045,-0.187315
-1.68163,-0.0255826,-1.49497,0.064466,0.00961326,-0.227405
-1.69934,-0.0216406,-1.48897,0.0566314,-0.00632517,-0.185619
-1.6989,-0.0286707,-1.49087,0.0601844,0.00100654,-0.194881
-1.70198,-0.0199106,-1.4931,0.0585712,0.00934189,-0.173561
-1.68987,-0.0146375,-1.49755,0.0626458,0.0202382,-0.205977
